,movieId,title,userId
0,1,Toy Story (1995),336
1,1,Toy Story (1995),474
2,1,Toy Story (1995),567
3,2,Jumanji (1995),62
4,2,Jumanji (1995),62
5,2,Jumanji (1995),62
6,2,Jumanji (1995),474
7,3,Grumpier Old Men (1995),289
8,3,Grumpier Old Men (1995),289
9,5,Father of the Bride Part II (1995),474
10,5,Father of the Bride Part II (1995),474
11,7,Sabrina (1995),474
12,11,"American President, The (1995)",474
13,11,"American President, The (1995)",474
14,14,Nixon (1995),474
15,14,Nixon (1995),474
16,16,Casino (1995),474
17,17,Sense and Sensibility (1995),474
18,21,Get Shorty (1995),474
19,22,Copycat (1995),474
20,25,Leaving Las Vegas (1995),474
21,26,Othello (1995),474
22,28,Persuasion (1995),474
23,28,Persuasion (1995),474
24,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",474
25,31,Dangerous Minds (1995),474
26,31,Dangerous Minds (1995),474
27,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),424
28,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),474
29,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),477
30,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),477
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),477
32,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),477
33,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),477
34,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),477
35,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),477
36,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),477
37,34,Babe (1995),474
38,34,Babe (1995),474
39,34,Babe (1995),477
40,36,Dead Man Walking (1995),474
41,36,Dead Man Walking (1995),474
42,38,It Takes Two (1995),474
43,39,Clueless (1995),357
44,39,Clueless (1995),357
45,39,Clueless (1995),357
46,39,Clueless (1995),357
47,39,Clueless (1995),357
48,39,Clueless (1995),474
49,39,Clueless (1995),474
50,40,"Cry, the Beloved Country (1995)",474
51,40,"Cry, the Beloved Country (1995)",474
52,41,Richard III (1995),474
53,43,Restoration (1995),474
54,45,To Die For (1995),474
55,46,How to Make an American Quilt (1995),474
56,47,Seven (a.k.a. Se7en) (1995),424
57,47,Seven (a.k.a. Se7en) (1995),424
58,47,Seven (a.k.a. Se7en) (1995),474
59,50,"Usual Suspects, The (1995)",424
60,50,"Usual Suspects, The (1995)",424
61,50,"Usual Suspects, The (1995)",424
62,50,"Usual Suspects, The (1995)",424
63,50,"Usual Suspects, The (1995)",424
64,50,"Usual Suspects, The (1995)",474
65,52,Mighty Aphrodite (1995),474
66,52,Mighty Aphrodite (1995),474
67,58,"Postman, The (Postino, Il) (1994)",474
68,62,Mr. Holland's Opus (1995),474
69,92,Mary Reilly (1996),474
70,96,In the Bleak Midwinter (1995),474
71,101,Bottle Rocket (1996),474
72,101,Bottle Rocket (1996),567
73,101,Bottle Rocket (1996),567
74,104,Happy Gilmore (1996),167
75,104,Happy Gilmore (1996),474
76,104,Happy Gilmore (1996),477
77,107,Muppet Treasure Island (1996),474
78,110,Braveheart (1995),62
79,110,Braveheart (1995),62
80,110,Braveheart (1995),62
81,110,Braveheart (1995),62
82,110,Braveheart (1995),62
83,110,Braveheart (1995),62
84,110,Braveheart (1995),62
85,110,Braveheart (1995),62
86,110,Braveheart (1995),62
87,110,Braveheart (1995),474
88,111,Taxi Driver (1976),474
89,116,Anne Frank Remembered (1995),474
90,122,Boomerang (1992),474
91,140,Up Close and Personal (1996),474
92,147,"Basketball Diaries, The (1995)",424
93,147,"Basketball Diaries, The (1995)",424
94,147,"Basketball Diaries, The (1995)",424
95,147,"Basketball Diaries, The (1995)",424
96,150,Apollo 13 (1995),474
97,150,Apollo 13 (1995),474
98,150,Apollo 13 (1995),474
99,153,Batman Forever (1995),336
100,153,Batman Forever (1995),474
101,160,Congo (1995),474
